3;2000;24.415;1979.999;1.34;2.0;
3;2000;19.388;1981.99;1.0;1.0;
3;2000;19.668;1978.123;1.0;1.0;
3;2000;19.751;1981.445;0.98;1.0;
3;4000;23.982;3879.326;0.9;1.0;
3;4000;27.495;3987.1;0.9;1.0;
3;4000;27.417;3973.332;0.94;1.0;
3;4000;27.71;3980.646;0.82;1.0;
3;6000;20.408;5618.273;0.96;1.0;
3;6000;39.782;5972.667;0.96;1.0;
3;6000;33.82;5976.043;0.86;1.0;
3;6000;33.738;5976.458;0.8;1.0;
3;8000;19.918;5137.376;0.94;1.0;
3;8000;43.677;7971.198;0.98;1.0;
3;10000;37.098;9981.377;0.92;1.0;
3;14000;48.648;13966.149;1.22;1.0;
3;14000;49.327;13995.599;1.04;1.0;
3;14000;55.883;13964.899;0.96;1.0;
3;16000;46.671;15943.864;0.98;1.0;
3;16000;50.27;15966.954;6.02;2.0;
3;18000;47.857;17958.807;1.0;2.0;
3;18000;53.488;17932.467;0.88;1.0;
3;18000;53.494;17966.094;1.58;2.0;
3;22000;51.296;21967.952;1.16;2.0;
3;22000;56.673;21941.022;1.22;2.0;
3;22000;56.601;21952.733;1.02;2.0;
3;22000;56.299;21965.686;1.12;2.0;
3;24000;54.093;23960.299;1.14;2.0;
3;24000;70.87;23955.12;1.1;2.0;
3;24000;64.9;24048.95;1.38;2.0;
3;26000;53.884;25966.758;1.4;2.0;
3;26000;66.528;25980.329;1.24;2.0;
3;26000;65.799;26004.713;1.32;2.0;
3;32000;63.498;31961.8;1.18;2.0;
3;32000;70.299;32127.306;3.26;10.0;
3;32000;64.824;31945.889;1.54;2.0;
3;32000;60.108;32059.479;1.38;2.0;
3;34000;52.947;33951.823;1.32;2.0;
3;34000;67.397;33784.877;0.84;2.0;
3;34000;59.906;33937.818;1.16;2.0;
3;34000;58.852;33869.523;1.1;2.0;
3;36000;45.116;34316.325;1.14;2.0;
3;36000;71.834;35938.364;1.62;2.0;
3;36000;62.968;35931.783;0.92;1.0;
3;36000;61.418;35827.728;1.12;2.0;
3;38000;62.153;38106.966;2.68;4.0;
